event_id,session_id,timestamp,page_url,event_type,plan_id
E0_0,SID00000,2025-03-03 23:02:55,/page/3,plan_click,PLAN1
E0_1,SID00000,2025-03-03 23:05:21,/page/2,form_submit,NULL
E0_2,SID00000,2025-03-03 23:12:06,/page/3,zip_submit,NULL
E1_0,SID00001,2025-03-23 01:58:15,/page/1,plan_view,NULL
E1_1,SID00001,2025-03-23 01:55:43,/page/2,plan_view,NULL
E1_2,SID00001,2025-03-23 01:55:32,/page/3,zip_submit,NULL
E2_0,SID00002,2025-03-23 23:17:26,/page/5,zip_submit,NULL
E2_1,SID00002,2025-03-23 23:18:54,/page/1,plan_view,NULL
E3_0,SID00003,2025-03-12 06:59:27,/page/3,plan_click,PLAN3
E3_1,SID00003,2025-03-12 06:57:22,/page/2,zip_submit,NULL
E4_0,SID00004,2025-03-03 21:14:02,/page/5,plan_click,PLAN1
E4_1,SID00004,2025-03-03 21:08:47,/page/1,plan_view,NULL
E4_2,SID00004,2025-03-03 21:14:58,/page/4,plan_click,PLAN6
E5_0,SID00005,2025-03-10 23:32:44,/page/5,plan_view,NULL
E5_1,SID00005,2025-03-10 23:28:25,/page/4,zip_submit,NULL
E5_2,SID00005,2025-03-10 23:35:09,/page/2,plan_view,NULL
E6_0,SID00006,2025-03-04 01:57:26,/page/5,plan_click,PLAN2
E6_1,SID00006,2025-03-04 02:01:50,/page/4,form_submit,NULL
E6_2,SID00006,2025-03-04 01:57:13,/page/1,plan_click,PLAN1
E6_3,SID00006,2025-03-04 02:04:52,/page/4,plan_view,NULL
E6_4,SID00006,2025-03-04 02:03:58,/page/1,zip_submit,NULL
E7_0,SID00007,2025-03-13 15:51:34,/page/4,zip_submit,NULL
E7_1,SID00007,2025-03-13 15:44:27,/page/1,zip_submit,NULL
E7_2,SID00007,2025-03-13 15:48:41,/page/5,plan_click,PLAN1
E8_0,SID00008,2025-03-08 06:45:11,/page/1,zip_submit,NULL
E9_0,SID00009,2025-03-02 14:32:05,/page/3,plan_view,NULL
E9_1,SID00009,2025-03-02 14:39:17,/page/3,zip_submit,NULL
E9_2,SID00009,2025-03-02 14:36:26,/page/5,plan_click,PLAN4
E9_3,SID00009,2025-03-02 14:38:59,/page/3,plan_view,NULL
E9_4,SID00009,2025-03-02 14:37:40,/page/5,plan_click,PLAN2
E9_5,SID00009,2025-03-02 14:37:16,/page/1,plan_click,PLAN6
E10_0,SID00010,2025-03-20 03:49:28,/page/5,plan_view,NULL
E10_1,SID00010,2025-03-20 03:51:11,/page/4,plan_view,NULL
E10_2,SID00010,2025-03-20 03:55:13,/page/2,plan_view,NULL
E10_3,SID00010,2025-03-20 03:54:34,/page/3,plan_view,NULL
E10_4,SID00010,2025-03-20 03:55:15,/page/4,plan_view,NULL
E12_0,SID00012,2025-03-06 20:49:24,/page/1,plan_click,PLAN5
E12_1,SID00012,2025-03-06 20:47:39,/page/4,plan_view,NULL
E12_2,SID00012,2025-03-06 20:47:39,/page/3,plan_click,PLAN5
E13_0,SID00013,2025-03-12 10:53:43,/page/2,zip_submit,NULL
E14_0,SID00014,2025-03-18 20:31:42,/page/1,zip_submit,NULL
E15_0,SID00015,2025-03-13 01:20:30,/page/1,plan_view,NULL
E15_1,SID00015,2025-03-13 01:20:32,/page/4,plan_view,NULL
E15_2,SID00015,2025-03-13 01:20:35,/page/3,zip_submit,NULL
E16_0,SID00016,2025-03-16 01:46:40,/page/5,plan_click,PLAN5
E16_1,SID00016,2025-03-16 01:45:28,/page/5,zip_submit,NULL
E16_2,SID00016,2025-03-16 01:54:02,/page/5,plan_view,NULL
E16_3,SID00016,2025-03-16 01:50:04,/page/1,plan_view,NULL
E17_0,SID00017,2025-03-28 03:13:21,/page/3,form_submit,NULL
E17_1,SID00017,2025-03-28 03:13:34,/page/1,plan_view,NULL
E17_2,SID00017,2025-03-28 03:11:15,/page/5,zip_submit,NULL
E18_0,SID00018,2025-03-19 10:25:33,/page/3,plan_view,NULL
E18_1,SID00018,2025-03-19 10:22:00,/page/5,zip_submit,NULL
E18_2,SID00018,2025-03-19 10:28:53,/page/2,zip_submit,NULL
E18_3,SID00018,2025-03-19 10:22:52,/page/4,zip_submit,NULL
E18_4,SID00018,2025-03-19 10:24:03,/page/1,plan_view,NULL
E19_0,SID00019,2025-03-19 07:00:29,/page/5,zip_submit,NULL
E19_1,SID00019,2025-03-19 07:00:47,/page/1,plan_view,NULL
E19_2,SID00019,2025-03-19 06:59:16,/page/5,form_submit,NULL
E20_0,SID00020,2025-03-09 14:54:58,/page/4,zip_submit,NULL
E21_0,SID00021,2025-03-18 09:17:27,/page/5,zip_submit,NULL
E21_1,SID00021,2025-03-18 09:17:23,/page/1,plan_view,NULL
E21_2,SID00021,2025-03-18 09:12:26,/page/1,plan_click,PLAN3
E21_3,SID00021,2025-03-18 09:10:57,/page/3,zip_submit,NULL
E21_4,SID00021,2025-03-18 09:13:09,/page/3,plan_click,PLAN5
E21_5,SID00021,2025-03-18 09:13:52,/page/1,plan_view,NULL
E22_0,SID00022,2025-03-30 01:33:49,/page/2,plan_view,NULL
E22_1,SID00022,2025-03-30 01:40:23,/page/4,form_submit,NULL
E22_2,SID00022,2025-03-30 01:31:55,/page/2,plan_click,PLAN3
E22_3,SID00022,2025-03-30 01:31:15,/page/1,plan_click,PLAN6
E22_4,SID00022,2025-03-30 01:39:47,/page/2,plan_view,NULL
E22_5,SID00022,2025-03-30 01:37:09,/page/4,plan_view,NULL
E23_0,SID00023,2025-03-02 00:59:49,/page/3,plan_view,NULL
E23_1,SID00023,2025-03-02 00:54:46,/page/3,plan_view,NULL
E24_0,SID00024,2025-03-27 21:31:25,/page/3,zip_submit,NULL
E25_0,SID00025,2025-03-27 15:50:03,/page/5,zip_submit,NULL
E25_1,SID00025,2025-03-27 15:41:48,/page/1,plan_view,NULL
E26_0,SID00026,2025-03-13 08:34:23,/page/2,plan_click,PLAN6
E26_1,SID00026,2025-03-13 08:32:34,/page/1,form_submit,NULL
E26_2,SID00026,2025-03-13 08:36:22,/page/4,plan_view,NULL
E26_3,SID00026,2025-03-13 08:38:58,/page/4,plan_view,NULL
E27_0,SID00027,2025-03-13 10:04:57,/page/4,zip_submit,NULL
E27_1,SID00027,2025-03-13 10:02:04,/page/2,form_submit,NULL
E27_2,SID00027,2025-03-13 10:06:09,/page/1,plan_view,NULL
E27_3,SID00027,2025-03-13 10:03:18,/page/4,plan_click,PLAN1
E28_0,SID00028,2025-03-22 02:08:00,/page/3,plan_click,PLAN5
